title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes
American Beauty,movie,Drama,1999.0,8.3,1239809.0
The Fifth Element,movie,"Action, Adventure, Sci-Fi",1997.0,7.6,522203.0
Kill Bill: Vol. 1,movie,"Action, Crime, Thriller",2003.0,8.2,1237141.0
Jarhead,movie,"Biography, Drama, War",2005.0,7.0,213771.0
Unforgiven,movie,"Drama, Western",1992.0,8.2,449123.0
Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",2004.0,8.3,1123281.0
Amores Perros,movie,"Drama, Thriller",2000.0,8.0,258870.0
A History of Violence,movie,"Action, Crime, Drama",2005.0,7.4,261840.0
Talk to Her,movie,"Drama, Mystery, Romance",2002.0,7.9,119500.0
8 Mile,movie,"Drama, Music",2002.0,7.2,334287.0
Paradise Now,movie,"Crime, Drama, Thriller",2005.0,7.4,24428.0
Million Dollar Baby,movie,"Drama, Sport",2004.0,8.1,740512.0
American History X,movie,"Crime, Drama",1998.0,8.5,1221019.0
Mars Attacks!,movie,"Comedy, Sci-Fi",1996.0,6.4,250493.0
Before Sunrise,movie,"Drama, Romance",1995.0,8.1,354416.0
Memento,movie,"Mystery, Thriller",2000.0,8.4,1365172.0
Hero,movie,"Action, Adventure, Drama",2002.0,7.9,190021.0
Before Sunset,movie,"Drama, Romance",2004.0,8.1,298833.0
Nausicaä of the Valley of the Wind,movie,"Adventure, Animation, Sci-Fi",1984.0,8.0,188809.0
Open Water,movie,"Adventure, Drama, Horror",2003.0,5.8,57638.0
Raiders of the Lost Ark,movie,"Action, Adventure",1981.0,8.4,1065514.0
Indiana Jones and the Temple of Doom,movie,"Action, Adventure",1984.0,7.5,548323.0
Dirty Dancing,movie,"Drama, Music, Romance",1987.0,7.1,266554.0
Indiana Jones and the Last Crusade,movie,"Action, Adventure",1989.0,8.2,832075.0
Beverly Hills Cop,movie,"Action, Comedy, Crime",1984.0,7.4,222030.0
Beverly Hills Cop II,movie,"Action, Comedy, Crime",1987.0,6.6,142397.0
Gladiator,movie,"Action, Adventure, Drama",2000.0,8.5,1732193.0
All About My Mother,movie,"Comedy, Drama, Romance",1999.0,7.8,105826.0
